Tag type: postag

		Num	Card	Ord	Percent	Range	Real	Ratio	Distrib	Time	Noun	Inf	APresPart	NInf	PastPart	APastPart	NPastPart	FutPart	NFutPart	AFutPart	Prop	Zero	Adj	PastPart	FutPart	PresPart	Pron	DemonsP	QuesP	ReflexP	PersP	QuantP	Adv	Conj	Det	Dup	Interj	Ques	Verb	Postp	Punc	
Num	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Card	0	29	0	0	0	0	0	0	0	330	0	0	0	0	1	0	0	0	0	5	25	54	0	0	0	0	0	0	0	0	0	8	8	0	0	0	0	11	1	23	
Ord	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	3	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	
Percent	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Range	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Real	0	3	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	
Ratio	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Distrib	0	0	0	0	0	0	0	1	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	
Time	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Noun	1	113	14	0	0	5	0	3	0	3451	0	428	669	0	202	278	0	70	74	254	204	809	0	0	0	40	35	41	40	127	0	864	610	298	4	5	40	2518	420	1982	
