Tag type: postag

çekmeden 1 < 31 , 1 > 
başlamıştık 1 < 37 , 1 > 
mallarında 1 < 9 , 1 > 
başlamıştır 1 < 37 , 2 > 
sayın_uğur_tanyeli'nin 1 < 19 , 1 > 
türkçe'yle 1 < 19 , 1 > 
ayrı_ayrı 1 < 21 , 1 > 
etkilenmeden 1 < 31 , 1 > 
oradan_oraya 1 < 9 , 2 > 
olsun 1 < 37 , 17 > 
cisimlere 1 < 9 , 1 > 
yansıması_olsa 1 < 37 , 1 > 
iftira_atmak 1 < 12 , 1 > 
merak_edilecektir 1 < 37 , 1 > 
cebine 1 < 9 , 2 > 
gazetesini 1 < 9 , 1 > 
uyanırım 1 < 37 , 1 > 
mümkün_olmadığı 1 < 14 , 1 > 
koyununun 1 < 9 , 1 > 
tahmin_edebiliriz 1 < 37 , 1 > 
boşlukları 1 < 9 , 1 > 
tabakları 1 < 9 , 1 > 
kurularıyla 1 < 20 , 1 > 
çöktüğüne 1 < 15 , 1 > 
üretirler 1 < 37 , 1 > 
hemşire 1 < 9 , 1 > 
komşuları 1 < 9 , 2 > 
sarılışımsa 1 < 37 , 1 > 
rolü 1 < 9 , 2 > 
öğretmenimi 1 < 9 , 1 > 
atılımlar 1 < 9 , 1 > 
kumru'ya 1 < 19 , 1 > 
çıkarmak 1 < 12 , 3 > 
etmeye 1 < 12 , 1 > 
remiz 1 < 9 , 1 > 
düşüncenizin 1 < 9 , 1 > 
mefahat 1 < 9 , 1 > 
benziyor 1 < 37 , 2 > 
i̇çmemek 1 < 12 , 1 > 
jetonları 1 < 9 , 1 > 
kokunun 1 < 9 , 1 > 
küçücük 1 < 21 , 3 > 
soruyor 1 < 37 , 3 > 
tuzu 1 < 9 , 1 > 
nedir 1 < 37 , 5 > 
uyanmasına 1 < 12 , 1 > 
teknede 1 < 9 , 1 > 
politikasında 1 < 9 , 1 > 
peebles 1 < 9 , 1 > 
yüzümün 1 < 9 , 1 > 
arkası 1 < 9 , 1 > 
çağırmak 1 < 12 , 1 > 
dedemle 1 < 9 , 1 > 
çöl 1 < 9 , 1 > 
yumurtayı 1 < 9 , 1 > 
çök 1 < 37 , 1 > 
istiyorum 1 < 37 , 9 > 
vadiyi 1 < 9 , 1 > 
çöp 1 < 9 , 1 > 
behzat_kulur 1 < 19 , 1 > 
sayfaları 1 < 9 , 1 > 
boşaldı 1 < 37 , 1 > 
olaydı 1 < 37 , 2 > 
merkez_bankası 1 < 9 , 1 > 
halklarının 1 < 9 , 1 > 
anlamına 1 < 9 , 5 > 
arkaya 1 < 9 , 1 > 
uğursuzluk 1 < 9 , 1 > 
tekerleklerinin 1 < 9 , 1 > 
ayak_uydurabiliyorlar 1 < 37 , 1 > 
piyasada 1 < 9 , 1 > 
olmuşlar 1 < 37 , 1 > 
i̇yiliği 1 < 9 , 1 > 
küçümsemeyle 1 < 12 , 1 > 
eğitimin 1 < 9 , 1 > 
masrafın 1 < 9 , 1 > 
ilkedir 1 < 37 , 1 > 
mezun_olduk 1 < 37 , 1 > 
damlacıklarını 1 < 9 , 1 > 
yerimden 1 < 9 , 2 > 
özerkliklere 1 < 9 , 1 > 
desteklediği 1 < 14 , 1 > 
kadroları 1 < 9 , 1 > 
gürültüleri 1 < 9 , 1 > 
anlamasını 1 < 12 , 1 > 
kıymetlendirilmiştir 1 < 37 , 1 > 
yanıtın 1 < 9 , 2 > 
koymamız 1 < 12 , 1 > 
eskimemişti 1 < 37 , 1 > 
aldırmadık 1 < 37 , 1 > 
onalti 1 < 1 , 1 > 
olayda 1 < 9 , 3 > 
sisli 1 < 21 , 1 > 
çenemize 1 < 9 , 1 > 
hesaplar 1 < 9 , 1 > 
kentten 1 < 9 , 1 > 
ocağının 1 < 9 , 2 > 
dedemin 1 < 9 , 3 > 
giderek 1 < 31 , 2 > 
ürünleri 1 < 9 , 4 > 
camiasının 1 < 9 , 1 > 
nicelik 1 < 9 , 2 > 
maliye_bakanı 1 < 9 , 2 > 
yabancıya 1 < 9 , 1 > 
masadakiler 1 < 20 , 1 > 
oturduğunu 1 < 15 , 1 > 
telaşlandığımı 1 < 15 , 1 > 
altında 1 < 9 , 11 > 
yazarları 1 < 9 , 3 > 
işletmeye 1 < 12 , 1 > 
köşk'e 1 < 19 , 1 > 
çalışıp 1 < 31 , 1 > 
kadın 1 < 9 , 45 > 
çalışın 1 < 37 , 1 > 
yabancısı 1 < 9 , 1 > 
cumhuriyeti'nin 1 < 19 , 1 > 
aceleciliği 1 < 9 , 1 > 
devreye_giriyor 1 < 37 , 1 > 
kolordu_komutanlığı'nda 1 < 19 , 1 > 
gezegen 1 < 9 , 1 > 
salada 1 < 9 , 1 > 
belirsizliğin 1 < 9 , 1 > 
satılmasının 1 < 12 , 1 > 
adaleler 1 < 9 , 1 > 
giderdi 1 < 37 , 3 > 
verilmesi 1 < 12 , 1 > 
oturduğumu 1 < 15 , 1 > 
sıkıntıya 1 < 9 , 1 > 
yaşindaydi 1 < 37 , 1 > 
rekabet 1 < 9 , 3 > 
şaşılaştı 1 < 37 , 1 > 
günlerinde 1 < 9 , 1 > 
rica_ediyorum 1 < 37 , 1 > 
ciklet 1 < 9 , 1 > 
eşyamla 1 < 9 , 1 > 
uyar 1 < 37 , 1 > 
yürütülen 1 < 11 , 1 > 
domates 1 < 9 , 2 > 
buldunuz 1 < 37 , 1 > 
uyan 1 < 11 , 1 > 
özlemimden 1 < 9 , 1 > 
yanıtladı 1 < 37 , 4 > 
çukurova_holding'in 1 < 19 , 1 > 
kapıdan 1 < 9 , 4 > 
yapınca 1 < 31 , 1 > 
cevap_vereceğimi 1 < 17 , 1 > 
daralıyordu 1 < 37 , 1 > 
evraklar 1 < 9 , 1 > 
ilkeden 1 < 9 , 1 > 
uzatılsın 1 < 37 , 1 > 
değiştiremezlerdi 1 < 37 , 1 > 
pençesinde 1 < 9 , 1 > 
bölünmüş 1 < 21 , 1 > 
düşünmediği 1 < 14 , 1 > 
ülkelerinde 1 < 9 , 1 > 
etkileyen 1 < 11 , 1 > 
fiziksel 1 < 21 , 4 > 
sözünü_ettiği 1 < 14 , 2 > 
zarfı 1 < 9 , 3 > 
muydu 1 < 36 , 1 > 
arkamı 1 < 9 , 1 > 
ayaklarının 1 < 9 , 3 > 
bitirmiş 1 < 37 , 2 > 
saffet_ağabeyim 1 < 9 , 1 > 
olmayalım 1 < 37 , 1 > 
gerçeklik 1 < 9 , 4 > 
yolculardan 1 < 9 , 1 > 
okuyan 1 < 11 , 1 > 
genel 1 < 21 , 15 > 
gösterebilir 1 < 37 , 1 > 
yirmialtı_kasım_ikibiniki_tarihinde 1 < 9 , 1 > 
pist 1 < 9 , 2 > 
evinin 1 < 9 , 1 > 
yaparak 1 < 31 , 3 > 
evrenbilim 1 < 9 , 1 > 
dalgınsın 1 < 37 , 1 > 
gezdiriyordum 1 < 37 , 1 > 
kazanırsa_kazansın 1 < 37 , 1 > 
cuk 1 < 9 , 1 > 
i̇çkiden 1 < 9 , 1 > 
cezalandırılması 1 < 12 , 2 > 
korkunuzu 1 < 9 , 1 > 
anlamına_gelecek 1 < 37 , 1 > 
hıyar 1 < 9 , 1 > 
vurguladığını 1 < 15 , 1 > 
i̇sterseniz 1 < 37 , 1 > 
bırakıldık 1 < 37 , 1 > 
kimden 1 < 27 , 1 > 
ustalığından 1 < 9 , 1 > 
alanlardaki 1 < 21 , 1 > 
analizlerde 1 < 9 , 1 > 
rallici_behzat 1 < 19 , 1 > 
gerçekler 1 < 9 , 1 > 
dönemidir 1 < 37 , 1 > 
tanıyamadıkları 1 < 15 , 1 > 
maruz_kalırsa 1 < 37 , 1 > 
var_oluruz 1 < 37 , 1 > 
korkmuyor 1 < 37 , 1 > 
oluşmadı 1 < 37 , 1 > 
bağlamış 1 < 21 , 1 > 
mehmet_ali_şahin 1 < 19 , 1 > 
kutsal 1 < 21 , 1 > 
zarif 1 < 21 , 1 > 
aldılar 1 < 37 , 2 > 
mistisizme 1 < 9 , 1 > 
arasından 1 < 9 , 6 > 
tekrar 1 < 31 , 4 > 
soruşturmayı 1 < 12 , 1 > 
sadelik 1 < 9 , 1 > 
değişti 1 < 37 , 3 > 
hışır_hışır 1 < 9 , 1 > 
koyardım 1 < 37 , 2 > 
yaşamanın 1 < 12 , 3 > 
tuttular 1 < 37 , 1 > 
özdek 1 < 9 , 1 > 
sefer 1 < 9 , 3 > 
anket 1 < 9 , 1 > 
gizli 1 < 21 , 5 > 
olanların 1 < 20 , 1 > 
sevdiğiniz 2 < 15 , 1 > < 14 , 2 > 
öncesinde 2 < 20 , 1 > < 9 , 3 > 
duygusunun 1 < 9 , 1 > 
istiyoruz 1 < 37 , 2 > 
ekmeğin 1 < 9 , 1 > 
olursa 1 < 37 , 1 > 
pilotuydu 1 < 37 , 1 > 
geliştirilmesi 1 < 12 , 1 > 
yabancıyı 1 < 9 , 1 > 
kargadan 1 < 9 , 2 > 
yaşarken 1 < 31 , 1 > 
zorunlu 1 < 21 , 1 > 
tilki 1 < 9 , 2 > 
sevilsin 1 < 37 , 1 > 
gurbet 1 < 9 , 1 > 
yerleştirdiği 1 < 14 , 1 > 
önemlisi 1 < 20 , 2 > 
aklıma_geldi 1 < 37 , 1 > 
gösterebilen 1 < 11 , 1 > 
olsam 1 < 37 , 1 > 
getiriyorlardı 1 < 37 , 2 > 
peşinden 1 < 9 , 1 > 
hizmeti 1 < 9 , 1 > 
artıracağız 1 < 37 , 1 > 
sofrasında 1 < 9 , 1 > 
zekalıyım 1 < 37 , 1 > 
aubergine 1 < 9 , 1 > 
i̇deolojik 1 < 21 , 1 > 
varsayımıyla 1 < 9 , 1 > 
kuramlar 1 < 9 , 1 > 
beyazı 1 < 20 , 1 > 
otosan'ın 1 < 19 , 1 > 
bindokuzyüzelli 1 < 20 , 1 > 
uyumsuz 1 < 20 , 1 > 
evlendikten 1 < 15 , 1 > 
gecenin 1 < 9 , 6 > 
almışız 1 < 37 , 1 > 
gelenlerin 1 < 20 , 1 > 
sallana_sallana 1 < 37 , 1 > 
çamlar 1 < 9 , 1 > 
astım 1 < 9 , 1 > 
hepimiz 1 < 25 , 4 > 
yokken 1 < 31 , 1 > 
düşmeyeceğini 1 < 17 , 1 > 
isteyen 1 < 11 , 5 > 
bölüm 1 < 9 , 2 > 
paranın 1 < 9 , 1 > 
herhalde 1 < 31 , 3 > 
erkeği 1 < 9 , 1 > 
cumhuriyet'ten 1 < 19 , 1 > 
tespit_edildiğini 1 < 15 , 1 > 
bundan 1 < 26 , 4 > 
yapmasını 1 < 12 , 1 > 
değişse 1 < 37 , 1 > 
taranmış 1 < 37 , 1 > 
öpüşmedikleri 1 < 14 , 1 > 
yorumlanmaktadır 1 < 37 , 1 > 
erkeğe 1 < 9 , 4 > 
aleminde 1 < 9 , 1 > 
karasu 1 < 19 , 1 > 
tavan 1 < 9 , 2 > 
kalemdeki 1 < 21 , 1 > 
varmadan 1 < 31 , 1 > 
saymazsak 1 < 37 , 1 > 
verdiğini 1 < 15 , 2 > 
çıkarıp 1 < 31 , 5 > 
yapardı 1 < 37 , 3 > 
soruyorum 1 < 37 , 2 > 
biçimlendirmek 1 < 12 , 2 > 
sektörde 1 < 9 , 1 > 
demokrat 1 < 9 , 2 > 
denetim 1 < 9 , 1 > 
bekar 2 < 21 , 2 > < 9 , 1 > 
sürpriz 1 < 9 , 3 > 
diyeceğimi 1 < 17 , 1 > 
sevişmelerle 1 < 12 , 1 > 
trafiği 1 < 9 , 1 > 
idare_etmek 1 < 12 , 1 > 
leblebiyi 1 < 9 , 1 > 
araştırmalar 1 < 12 , 1 > 
saatini 1 < 9 , 1 > 
evleneceğini 1 < 17 , 1 > 
hepsinin 1 < 25 , 5 > 
saatine 1 < 9 , 3 > 
kesintisiz 1 < 21 , 1 > 
ortak_olduk 1 < 37 , 1 > 
yazacağım 2 < 37 , 1 > < 17 , 1 > 
icat_edilmemiş 1 < 37 , 1 > 
etkileneceğini 1 < 17 , 1 > 
anlatamam 1 < 37 , 2 > 
unvan 1 < 9 , 1 > 
mazlum 1 < 21 , 1 > 
fırlamış 1 < 37 , 1 > 
daveti 1 < 9 , 1 > 
taşıdığını 1 < 15 , 1 > 
güçtedir 1 < 37 , 1 > 
öğretmenliğe 1 < 9 , 1 > 
makamlarda 1 < 9 , 1 > 
bakışta 1 < 12 , 1 > 
kanalın 1 < 9 , 1 > 
bakarsanız 1 < 37 , 1 > 
elverişli 1 < 21 , 2 > 
bilsinler 1 < 37 , 1 > 
fezlekesi 1 < 9 , 1 > 
ülkelerinin 1 < 9 , 2 > 
motordaki 1 < 21 , 1 > 
olan_biten 1 < 11 , 1 > 
bakalım 1 < 37 , 5 > 
avcuna 1 < 9 , 1 > 
akıllım 1 < 20 , 1 > 
sevdiklerinden 1 < 15 , 1 > 
planlandığı 1 < 14 , 1 > 
abd_başkanı_george_bush'un 1 < 19 , 1 > 
katılabilmesi 1 < 12 , 1 > 
makamlarca 1 < 9 , 1 > 
harama 1 < 20 , 1 > 
kemal_derviş 1 < 19 , 1 > 
çıkışları 1 < 12 , 1 > 
zamansız 1 < 21 , 2 > 
kayıpla 1 < 20 , 1 > 
yapmıyor 1 < 37 , 1 > 
daa 1 < 9 , 1 > 
pamuk_prenses 1 < 9 , 3 > 
dal 1 < 9 , 2 > 
sırık 1 < 9 , 1 > 
yarın 1 < 9 , 6 > 
yarım 1 < 21 , 5 > 
dam 1 < 9 , 1 > 
tarihsel 1 < 21 , 1 > 
dar 1 < 21 , 5 > 
alıcı 1 < 21 , 1 > 
evinde 1 < 9 , 5 > 
partililer 1 < 9 , 2 > 
soruydu 1 < 37 , 1 > 
sebzeler 1 < 9 , 1 > 
aramadan 1 < 12 , 1 > 
sınıfa 1 < 9 , 3 > 
saffet'i 1 < 19 , 1 > 
süzük 1 < 9 , 1 > 
kavramlardır 1 < 37 , 1 > 
çelişkiler 1 < 9 , 1 > 
parmaklı 1 < 21 , 4 > 
denebilecek 1 < 18 , 1 > 
aynılığına 1 < 9 , 1 > 
kolaylaştırdık 1 < 37 , 1 > 
çıkmıştı 1 < 37 , 2 > 
zavallı 1 < 21 , 3 > 
üretilmesi 1 < 12 , 1 > 
almanya'da 1 < 19 , 2 > 
ayıp 1 < 9 , 3 > 
sığınacağını 1 < 17 , 1 > 
anımsamıyorum 1 < 37 , 3 > 
kavramının 1 < 9 , 4 > 
ayın 1 < 9 , 1 > 
yetkisindedir 1 < 37 , 1 > 
uzadıkça_uzamış 1 < 37 , 1 > 
ürünlerinizin 1 < 9 , 1 > 
ifadenin 1 < 9 , 1 > 
hüseyin_çağlan 1 < 19 , 1 > 
çalışacak 1 < 37 , 1 > 
kurtuldum 1 < 37 , 4 > 
viskilerine 1 < 9 , 1 > 
kıyısında 1 < 9 , 3 > 
bulunulduğunu 1 < 15 , 1 > 
buzlu 1 < 21 , 1 > 
aşağı 2 < 21 , 2 > < 9 , 1 > 
şaşırtıcı 1 < 9 , 1 > 
hepsinde 1 < 25 , 1 > 
düşünsene 1 < 37 , 1 > 
sürerek 1 < 31 , 1 > 
yaşayan 1 < 11 , 6 > 
anlayamadığını 1 < 15 , 1 > 
kararı 1 < 9 , 5 > 
yoldaki 1 < 21 , 1 > 
yararlanmak 1 < 12 , 1 > 
beyaza 1 < 20 , 1 > 
fikirler 1 < 9 , 2 > 
mobilyası 1 < 9 , 1 > 
sınırlandırdı 1 < 37 , 1 > 
öyküsü 1 < 9 , 4 > 
arkada 1 < 9 , 1 > 
yenilerin 1 < 20 , 1 > 
sürerdi 1 < 37 , 1 > 
giderse 1 < 37 , 1 > 
kullanılmayan 1 < 11 , 1 > 
kanunu 1 < 9 , 2 > 
buydu 1 < 37 , 5 > 
uyum 1 < 9 , 8 > 
dek 1 < 38 , 6 > 
yapı_kredi_sanat_festivali_yetkilileri 1 < 9 , 1 > 
izin_verilmemesinin 1 < 12 , 1 > 
ihtimalin 1 < 9 , 1 > 
der 1 < 37 , 2 > 
projenin 1 < 9 , 1 > 
atamızın 1 < 9 , 1 > 
dev 1 < 9 , 1 > 
azaltmıştım 1 < 37 , 1 > 
yaşlanmıştı 1 < 37 , 1 > 
küçüldüler 1 < 37 , 1 > 
reddedilirsem 1 < 37 , 1 > 
yemeyiz 1 < 37 , 1 > 
terk_ederlerdi 1 < 37 , 1 > 
ulaşmıştı 1 < 37 , 1 > 
seviyesine 1 < 9 , 1 > 
kayboldunuz 1 < 37 , 1 > 
olasılıklardan 1 < 9 , 1 > 
değindiğimiz 1 < 15 , 1 > 
ikramiyenin 1 < 9 , 1 > 
olmaması 1 < 12 , 2 > 
kefeye 1 < 9 , 3 > 
ekonomistlerin 1 < 9 , 1 > 
sekiz'i 1 < 20 , 1 > 
suyunun 1 < 9 , 1 > 
etrafındaki 1 < 21 , 1 > 
suratında 1 < 9 , 1 > 
geçtiğini 1 < 15 , 2 > 
dağ 1 < 9 , 2 > 
bakıştık 1 < 37 , 1 > 
dolaylı 1 < 21 , 1 > 
dikmesi 1 < 12 , 1 > 
olurdum 1 < 37 , 2 > 
değişiklikleri 1 < 9 , 1 > 
birbirinin_ardı_sıra 1 < 9 , 1 > 
evine 1 < 9 , 8 > 
yanlışları 1 < 20 , 1 > 
özer'lerin 1 < 19 , 1 > 
evini 1 < 9 , 4 > 
tahmin_ediliyor 1 < 37 , 1 > 
külah 1 < 9 , 1 > 
kazanan 1 < 11 , 1 > 
dha 1 < 9 , 2 > 
yok_oldu 1 < 37 , 1 > 
bulunup_bulunmadığına 1 < 15 , 1 > 
okşadı 1 < 37 , 1 > 
anlatsın 1 < 37 , 1 > 
diplerinden 1 < 9 , 1 > 
görse 1 < 37 , 1 > 
söylenmeye 1 < 12 , 1 > 
iple_çektiğimi 1 < 15 , 1 > 
gezginin 1 < 9 , 1 > 
tuvaletini 1 < 9 , 1 > 
unutuyordum 1 < 37 , 1 > 
vakitler 1 < 9 , 1 > 
kur'an 1 < 19 , 1 > 
toplatılmasına 1 < 12 , 1 > 
kararsız 1 < 21 , 1 > 
okumadım 1 < 37 , 2 > 
eş_dost 1 < 9 , 1 > 
dil 1 < 9 , 8 > 
barmenden 1 < 9 , 1 > 
dik 1 < 21 , 1 > 
din 1 < 9 , 7 > 
dip 1 < 9 , 1 > 
bulunmazdım 1 < 37 , 2 > 
baba 1 < 9 , 17 > 
yorgun_düşmüş 1 < 21 , 1 > 
düşüş 1 < 12 , 4 > 
diz 1 < 9 , 1 > 
eşyalar 1 < 9 , 1 > 
ayırdıklarını 1 < 15 , 1 > 
ortaya_çıkışı 1 < 12 , 1 > 
dosyasını 1 < 9 , 1 > 
özentili 1 < 20 , 1 > 
unutmuştum 1 < 37 , 2 > 
malzemeler 1 < 9 , 1 > 
üretilebilir 1 < 21 , 1 > 
giydirirerek 1 < 9 , 1 > 
evimi 1 < 9 , 1 > 
korur 1 < 37 , 1 > 
değişen 1 < 11 , 1 > 
yunanistan 1 < 19 , 1 > 
metinde 1 < 9 , 1 > 
cring 1 < 9 , 1 > 
dökülen 1 < 11 , 1 > 
yetisine 1 < 9 , 1 > 
virtual 1 < 9 , 2 > 
göztepe 1 < 19 , 1 > 
anlamış 1 < 37 , 1 > 
dövüyordu 1 < 37 , 1 > 
belirleyebilmek 1 < 12 , 1 > 
akılla 1 < 9 , 1 > 
olabilmek 1 < 12 , 1 > 
kanunun 1 < 9 , 1 > 
takılıp 1 < 31 , 1 > 
üzülüp 1 < 31 , 1 > 
takılır 1 < 37 , 1 > 
seyrek 1 < 31 , 1 > 
üzülür 1 < 21 , 1 > 
çalıp 1 < 31 , 1 > 
memleketimin 1 < 9 , 2 > 
sağlanan 1 < 11 , 2 > 
şişman 1 < 21 , 1 > 
belgelerden 1 < 9 , 1 > 
mahmut'a 1 < 19 , 2 > 
bilgiler 1 < 9 , 5 > 
tansu_çiller'i 1 < 19 , 1 > 
onanan 1 < 11 , 1 > 
oluşuyor 1 < 37 , 1 > 
yaratman 1 < 12 , 1 > 
görünüşe 1 < 12 , 1 > 
görünendir 1 < 37 , 1 > 
boşluklar 1 < 9 , 1 > 
doktor 1 < 9 , 2 > 
şiddete 1 < 9 , 1 > 
dallarındaysa 1 < 37 , 1 > 
dağıldı 1 < 37 , 3 > 
katılmıyorum 1 < 37 , 1 > 
taha_akyol'un 1 < 19 , 1 > 
mahmut'u 1 < 19 , 1 > 
başlarına 1 < 9 , 1 > 
anlatan 1 < 11 , 2 > 
piyasaya 1 < 9 , 1 > 
itler 1 < 9 , 2 > 
müracaat_ettim 1 < 37 , 1 > 
gireceksiniz 1 < 37 , 1 > 
hüzün 1 < 9 , 1 > 
söz_ediyor 1 < 37 , 1 > 
herkesten 1 < 9 , 1 > 
zorundayız 1 < 37 , 1 > 
ilişkisi 1 < 9 , 5 > 
seslendirmiştim 1 < 37 , 1 > 
bakacağım 1 < 37 , 1 > 
gemileri 1 < 9 , 1 > 
ucuna 1 < 9 , 1 > 
yurdu 1 < 9 , 1 > 
sinyaller 1 < 9 , 1 > 
enflasyonlara 1 < 9 , 1 > 
tahkikatın 1 < 9 , 2 > 
yaratılmıştır 1 < 37 , 1 > 
zorundayım 1 < 37 , 1 > 
gemilere 1 < 9 , 1 > 
dışında 1 < 9 , 9 > 
durdum 1 < 37 , 1 > 
defteri_olmaktan 1 < 12 , 1 > 
durduk 1 < 37 , 1 > 
kitabıyla 1 < 9 , 1 > 
arkasını 1 < 9 , 3 > 
dna 1 < 9 , 1 > 
sayıcılarında 1 < 9 , 1 > 
sevişmeler 1 < 12 , 2 > 
terk_edilmişlik 1 < 9 , 1 > 
bizler 1 < 37 , 1 > 
algılayıcı 1 < 21 , 1 > 
dilimizi 1 < 9 , 1 > 
gelin 1 < 37 , 3 > 
tarafın 1 < 9 , 1 > 
gelir 2 < 37 , 6 > < 9 , 4 > 
abajuru 1 < 9 , 1 > 
gelip 1 < 31 , 6 > 
dinleyici 1 < 9 , 1 > 
değişim 1 < 9 , 1 > 
ucunu 1 < 9 , 3 > 
mıncıklamadıkları 1 < 14 , 1 > 
yurda 1 < 9 , 1 > 
değişir 1 < 37 , 3 > 
şişesine 1 < 9 , 1 > 
kraliçe 1 < 9 , 1 > 
tarafız 1 < 37 , 2 > 
değişik 1 < 21 , 6 > 
savaşım 1 < 9 , 2 > 
